wals_code,latitude,longitude,x1a,x2a,x3a,x4a,x5a,x6a,x7a,x8a,x9a,x10a,x11a,x12a,x13a,x14a,x15a,x16a,x17a,x18a,x19a,x20a,x21a,x22a,x23a,x24a,x25a,x26a,x27a,x28a,x29a,x30a,x31a,x32a,x33a,x34a,x35a,x36a,x37a,x38a,x39a,x40a,x41a,x42a,x43a,x44a,x45a,x46a,x47a,x48a,x49a,x50a,x51a,x52a,x53a,x54a,x55a,x56a,x57a,x58a,x59a,x60a,x61a,x62a,x63a,x64a,x65a,x66a,x67a,x68a,x69a,x70a,x71a,x72a,x73a,x74a,x75a,x76a,x77a,x78a,x79a,x80a,x81a,x82a,x83a,x84a,x85a,x86a,x87a,x88a,x89a,x90a,x91a,x92a,x93a,x94a,x95a,x96a,x97a,x98a,x99a,x100a,x101a,x102a,x103a,x104a,x105a,x106a,x107a,x108a,x109a,x110a,x111a,x112a,x113a,x114a,x115a,x116a,x117a,x118a,x119a,x120a,x121a,x122a,x123a,x124a,x125a,x126a,x127a,x128a,x129a,x130a,x131a,x132a,x133a,x134a,x135a,x136a,x137a,x138a,x139a,x140a,x141a,x142a,x143a,x144a,iso,language,wiki_code
rsm,46.5833333333,9.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No fixed stress,Right-edge: Ultimate or penultimate,Combined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,roh,Romansh,rm
rsu,46.6666666667,8.83333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Second singular and second plural,Normal imperative + normal negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,NA,NA,Noun-Genitive,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,Noun-Relative clause,NA,NA,NA,Initial subordinator word,NA,VO and NRel,VO and NAdj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VNeg,Other,roh,Romansh,rm
rus,56,38,Moderately large,Average (5-6),High,In both plosives and fricatives,None missing in /p t k b d g/,None,No glottalized consonants,"/l/, no obstruent laterals",No velar nasal,Contrast absent,None,Complex,No tones,No fixed stress,Unbounded: Stress can be anywhere,Lexical stress,No rhythmic stress,All present,None,Exclusively concatenative,Case + number,4-5 categories per word,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,No productive reduplication,Core and non-core,Not syncretic,Three,Sex-based,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person-number stem + nominal plural affix,No associative plural,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,No inclusive/exclusive,Two-way contrast,Identical,NA,3rd person singular only,Binary politeness distinction,Interrogative-based,Differentiated,No person marking,6-7 cases,Syncretism in relevant NP-types,Case suffixes,Mixed,"First, second, three-th",Marked by preceding word,Absent,NA,No possessive affixes,Absent,No possessive classification,Highly differentiated,Without marking,Ergative-Possessive,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,No perfect,Mixed type,Second singular and second plural,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,No grammatical evidentials,No grammatical evidentials,Tense and aspect,None,SVO,SV,VO,NA,Prepositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Noun-Relative clause,Degree word-Adjective,Second position,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Obligatory pronouns in subject position,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Mixed,Present,No antipassive,No applicative construction,Purposive but no sequential,Morphological but no compound,Negative particle,Symmetric,Non-assignable,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Identical,Possible,Particle,Relative pronoun,Relative pronoun,Subject is left implicit,Balanced/deranked,Balanced/deranked,Balanced/deranked,Balanced,Identical,Different,Decimal,6,11,Green vs. blue,Red vs. yellow,"M-T pronouns, paradigmatic",No N-M pronouns,Words derived from Sinitic cha,NA,NA,NA,Affective meanings,NegV,SNegVO,rus,Russian,ru
sam,-13.9166666667,-171.833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Little affixation,Productive full and partial reduplication,NA,NA,NA,NA,NA,Plural word,NA,Person-number stem + pronominal plural affix,NA,Definite word distinct from demonstrative,Indefinite word distinct from 'one',NA,NA,Three-way contrast,Identical,Related to remote demonstratives,No gender distinctions,NA,Generic-noun-based,NA,No person marking,NA,NA,No case affixes or adpositional clitics,Differentiation,"First, two, three",Marked by prefix,Optional,NA,No possessive affixes,Absent,No possessive classification,NA,NA,Other,'And' identical to 'with',NA,NA,NA,NA,NA,Tense-aspect prefixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,"Singular-plural pairs, suppletion",No dominant order,VS,VO,NA,Prepositions,Noun-Genitive,Noun-Adjective,Mixed,No dominant order,Noun-Relative clause,No dominant order,Initial,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,Neutral,NA,No person marking,No person marking,A and P do not or do not both occur on the verb,NA,NA,Absent,No antipassive,NA,NA,Morphological but no compound,Negative particle,NA,NA,NA,Question particle,Locational,Verbal encoding,Different,Possible,Conjoined,NA,NA,Desiderative particle,NA,NA,NA,NA,Identical,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Affective meanings,NegV,More than one position,smo,Samoan,sm
sdh,26,69,Large,Large (7-14),Moderately high,In both plosives and fricatives,None missing in /p t k b d g/,None,Implosives only,"/l/, no obstruent laterals",NA,NA,None,NA,No tones,No fixed stress,Combined: Right-edge and unbounded,No weight,NA,All present,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marked by reduplication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inflectional optative absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,NA,NA,snd,Sindhi,sd
slo,46,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No fixed stress,Unbounded: Stress can be anywhere,Prominence,No rhythmic stress,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case suffixes,NA,"First, second, three-th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Second singular and second plural,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Other,Overlap for both possibility and necessity,NA,NA,Tense and aspect,None,SVO,SV,VO,NA,Prepositions,No dominant order,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,NA,NA,NA,NA,NA,VO and Prepositions,NA,VO and AdjN,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative particle,NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,NegV,SNegVO,slv,Slovenian,sl
snh,7,80.5,Average,Large (7-14),Average,In plosives alone,None missing in /p t k b d g/,None,No glottalized consonants,"/l/, no obstruent laterals",NA,NA,None,NA,No tones,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associative same as additive plural,NA,NA,NA,NA,NA,NA,Related for all demonstratives,NA,Multiple politeness distinctions,NA,Identical,NA,5 cases,Symmetrical,Case suffixes,NA,"First, two-th, three-th",NA,Absent,NA,NA,NA,NA,NA,NA,NA,'And' different from 'with',NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,Neither type of system,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,NA,Adjective-Noun,NA,No dominant order,Noun-Relative clause,Degree word-Adjective,NA,NA,Mixed,OV and Postpositions,OV and NRel,OV and AdjN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morphological but no compound,NA,NA,NA,NA,NA,Locational,Nonverbal encoding,Different,Possible,NA,NA,NA,NA,NA,NA,NA,NA,Identical,Different,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NA,NA,sin,Sinhalese,si
som,3,45,Average,Large (7-14),Moderately low,In plosives alone,Missing /p/,Uvular stops only,No glottalized consonants,"/l/, no obstruent laterals",No velar nasal,NA,None,Moderately complex,Simple tone system,NA,NA,NA,NA,All present,Pharyngeals,NA,NA,NA,NA,NA,NA,Strongly suffixing,Productive full and partial reduplication,NA,NA,NA,NA,NA,Plural suffix,"All nouns, always obligatory",NA,NA,Definite affix,"No indefinite, but definite article",NA,NA,Four-way contrast,Different inflection,NA,NA,No politeness distinction,Generic-noun-based,Differentiated,NA,3 cases,Symmetrical,No case affixes or adpositional clitics,Differentiation,"One-th, two-th, three-th",NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,NA,'And' different from 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,No perfect,Tense-aspect suffixes,NA,NA,NA,Inflectional optative absent,Verbal constructions,Affixes on verbs,No overlap,NA,NA,NA,NA,SOV,SV,OV,NA,No dominant order,No dominant order,Noun-Adjective,Demonstrative suffix,Numeral-Noun,Noun-Relative clause,Degree word-Adjective,Other position,Not initial interrogative phrase,Initial subordinator word,Other,OV and NRel,OV and NAdj,NA,NA,NA,Subject pronouns in different position,NA,NA,NA,Secondary-object construction,NA,NA,NA,NA,NA,NA,Negative particle,Asymmetric,A/Fin and A/Cat,Predicate negation also present,Question particle,Conjunctional,Mixed,Different,Possible,NA,NA,NA,Subject is expressed overtly,Balanced,Balanced,Balanced,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,Logical meanings,NegV,SONegV,som,Somali,so
sun,-7,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No fixed stress,Right-edge: Ultimate or penultimate,Prominence,NA,NA,NA,NA,NA,NA,NA,NA,NA,Little affixation,Productive full and partial reduplication,NA,NA,NA,NA,NA,Plural complete reduplication,"All nouns, always optional",NA,NA,NA,"No indefinite, but definite article",NA,NA,NA,NA,NA,No gender distinctions,NA,NA,NA,No person marking,NA,NA,No case affixes or adpositional clitics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Identity,No grammatical marking,No past tense,No inflectional future,"From 'finish', 'already'",No tense-aspect inflection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,NA,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,Noun-Relative clause,No dominant order,Initial,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,Neutral,NA,No person marking,No person marking,A and P do not or do not both occur on the verb,Mixed,NA,Present,NA,NA,NA,Morphological but no compound,"Negative word, unclear if verb or particle",NA,NA,NA,Question particle,NA,Verbal encoding,Different,Possible,NA,NA,NA,Subject is left implicit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NegV,SNegVO,sun,Sundanese,su
svk,49,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Initial,Fixed stress (no weight-sensitivity),No weight,Trochaic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Differentiated,NA,NA,NA,NA,NA,"First, second, three-th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense and aspect,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Identical,Different,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,Affective meanings,NA,NA,slk,Slovak,sk
swe,60,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No fixed stress,Right-oriented: One of the last three,Long vowel or coda consonant,No rhythmic stress,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,"All nouns, always obligatory",NA,NA,Definite affix,Indefinite word same as 'one',NA,NA,Two-way contrast,Identical,NA,NA,Binary politeness distinction,Special,Identical,NA,2 cases,Additive-quantitatively asymmetrical,No case affixes or adpositional clitics,Identity,"First, second, three-th",NA,NA,NA,No possessive affixes,NA,NA,NA,NA,Other,'And' different from 'with',NA,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,From possessive,Tense-aspect suffixes,Second person number-neutral,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Indirect only,Mixed,Tense,None,SVO,SV,VO,VOX,Prepositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Noun-Relative clause,Degree word-Adjective,No question particle,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,NA,NA,NA,Obligatory pronouns in subject position,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative particle,NA,NA,Mixed behaviour,Interrogative word order,'Have',Nonverbal encoding,Identical,Impossible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,Affective meanings,Type 1 / Type 2,More than one position,swe,Swedish,sv
swv,64.25,19.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genitives and adjectives collapsed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,swe,Swedish,sv
taj,38.6666666667,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ultimate,Fixed stress (no weight-sensitivity),No weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weakly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,NA,"No definite, but indefinite article",Indefinite word distinct from 'one',NA,NA,NA,NA,NA,NA,NA,Interrogative-based,NA,NA,NA,NA,No case affixes or adpositional clitics,NA,NA,NA,NA,NA,No possessive affixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,Prepositions,Noun-Genitive,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,Noun-Relative clause,NA,Final,NA,Initial subordinator word,OV and Prepositions,OV and NRel,OV and NAdj,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,Question particle,'Have',NA,NA,NA,Locational,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,[Neg-V],MorphNeg,tgk,Tajik,tg
tel,16,79,Moderately large,Average (5-6),Moderately high,In plosives alone,None missing in /p t k b d g/,None,No glottalized consonants,"/l/, no obstruent laterals",NA,NA,None,Moderately complex,No tones,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,NA,Person-number stem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Identical,NA,NA,NA,Case suffixes,Differentiation,NA,NA,NA,"Formally similar, with interrogative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,Second singular and second plural,Normal imperative + special negative,NA,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,Degree word-Adjective,No question particle,Not initial interrogative phrase,Mixed,OV and Postpositions,OV and RelN,OV and AdjN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morphological but no compound,Negative affix,NA,NA,NA,Interrogative verb morphology,NA,Nonverbal encoding,Identical,Possible,Locational,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decimal,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,Logical meanings,[V-Neg],MorphNeg,tel,Telugu,te
tha,16,101,Average,Large (7-14),Moderately low,In plosives alone,Missing /g/,None,No glottalized consonants,"/l/, no obstruent laterals",Initial velar nasal,Contrast absent,None,Moderately complex,Complex tone system,NA,NA,NA,NA,All present,None,Isolating/concatenative,No case,2-3 categories per word,No marking,Dependent marking,Inconsistent or other,Little affixation,Productive full and partial reduplication,No case marking,No subject person/number marking,None,No gender,No gender,NA,NA,Person-number stem,No associative plural,"No definite, but indefinite article",Indefinite word distinct from 'one','We' the same as 'I',No person marking,NA,NA,Unrelated,No gender distinctions,Pronouns avoided for politeness,Interrogative-based,Identical,No person marking,No morphological case-marking,No case-marking,No case affixes or adpositional clitics,Differentiation,"First/one-th, two-th, three-th",No distributive numerals,Obligatory,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,Moderately differentiated in other ways,Without marking,Mixed,'And' different from 'with',Identity,No grammatical marking,No past tense,No inflectional future,"From 'finish', 'already'",No tense-aspect inflection,No second-person imperatives,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,No grammatical evidentials,No grammatical evidentials,None,None,SVO,SV,VO,VOX,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,Adjective-Degree word,Final,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,Neutral,Neutral,Neutral,Optional pronouns in subject position,No person marking,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Both,Neither,Negative auxiliary verb,Symmetric,Non-assignable,Predicate negation also present,Question particle,Topic,Verbal encoding,Different,Possible,Exceed,Gap,Gap,Subject is left implicit,NA,NA,NA,NA,Different,Different,Decimal,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,Affective meanings,NegV,SNegVO,tha,Thai,th
tkm,40,58,NA,NA,NA,NA,NA,NA,NA,NA,No initial velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Productive full and partial reduplication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed,NA,NA,NA,NA,NA,NA,"One-th, two-th, three-th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,NA,NA,NA,NA,OV and Postpositions,OV and RelN,OV and AdjN,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Identical,Different,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,NA,NA,tuk,Turkmen,tk
tmi,55.5,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inflectional optative absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tat,Tatar,tt
tml,11,78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,Productive full and partial reduplication,NA,NA,Three,Sex-based,Semantic,Plural suffix,"All nouns, optional in inanimates",Person-number stem + nominal plural affix,NA,NA,NA,NA,NA,Two-way contrast,Different inflection,NA,NA,Multiple politeness distinctions,Interrogative-based,Identical,NA,NA,NA,Case suffixes,Differentiation,"First, two-th, three-th",Marked by reduplication,NA,"Formally similar, with interrogative",NA,NA,NA,NA,NA,Sentential,'And' different from 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,Second singular and second plural,Special imperative + special negative,NA,NA,Affixes on verbs,Affixes on verbs,Overlap for either possibility or necessity,Indirect only,Verbal affix or clitic,NA,NA,SOV,SV,OV,XOV,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,Degree word-Adjective,No question particle,Not initial interrogative phrase,Subordinating suffix,OV and Postpositions,OV and RelN,OV and AdjN,NA,NA,NA,NA,NA,NA,NA,Indirect-object construction,Distinct from reflexive,NA,No antipassive,No applicative construction,Purposive but no sequential,Morphological but no compound,Negative affix,NA,NA,Predicate negation also present,Interrogative verb morphology,Locational,Nonverbal encoding,Identical,Possible,Locational,NA,NA,NA,Deranked,Deranked,Deranked,Deranked,Identical,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V-Neg],MorphNeg,tam,Tamil,ta
tng,-21.1666666667,-175.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No fixed stress,Right-edge: Ultimate or penultimate,Long vowel,Trochaic,NA,NA,NA,NA,NA,NA,NA,NA,Little affixation,Productive full and partial reduplication,NA,NA,NA,NA,NA,Plural word,NA,NA,NA,Definite word distinct from demonstrative,Indefinite word distinct from 'one',NA,NA,Two-way contrast,Different stem,NA,NA,NA,NA,NA,NA,NA,NA,No case affixes or adpositional clitics,Differentiation,NA,Marked by prefix,Optional,NA,No possessive affixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No tense-aspect inflection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No dominant order,VS,VO,NA,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,No dominant order,NA,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morphological but no compound,"Negative word, unclear if verb or particle",NA,NA,NA,NA,NA,Verbal encoding,Different,Possible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,More than one position,ton,Tongan,to
tsn,-24,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In either of two positions,Not initial interrogative phrase,NA,NA,NA,NA,NA,NA,NA,Subject pronouns in different position,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative particle,NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,NA,tso,Tsonga,ts
