word_order,n,empirical_entropy,ci_upper,ci_lower,length,language,person
5,374,8.546894459887639,8.679567961609854,8.413522004202012,9,Spanish,Child
6,407,8.668884984266247,8.79116288855502,8.527477006060396,9,Spanish,Child
7,379,8.56605403817109,8.707359132080883,8.426159754988866,9,Spanish,Child
8,269,8.071462362556625,8.224122099605552,7.90086680798075,9,Spanish,Child
9,651,9.346513733165635,9.438791852578262,9.245552706255683,9,Spanish,Child
1,231,7.851749041416057,8.022367813028454,7.679480099505446,5,Spanish,Adult
2,337,8.396604781181859,8.519636252843213,8.257387842692651,5,Spanish,Adult
3,399,8.640244936222347,8.754887502163468,8.495855026887172,5,Spanish,Adult
4,355,8.471675214392047,8.611208814931137,8.326429487122303,5,Spanish,Adult
5,616,9.266786540694902,9.355351096424812,9.172427508645482,5,Spanish,Adult
1,165,7.366322214245815,7.569855608330948,7.149747119504682,7,Spanish,Adult
2,271,8.08214904135387,8.243173983472952,7.900715581863929,7,Spanish,Adult
3,288,8.169925001442312,8.312882955284357,8.005483935464031,7,Spanish,Adult
4,346,8.434628227636725,8.558516256042475,8.285402218862247,7,Spanish,Adult
5,314,8.294620748891626,8.434628227636725,8.144658242831882,7,Spanish,Adult
6,255,7.994353436858858,8.16490692667569,7.820178962415189,7,Spanish,Adult
7,428,8.741466986401148,8.86418614465428,8.61470984411521,7,Spanish,Adult
1,95,6.569855608330948,6.845490050944376,6.247927513443586,9,Spanish,Adult
2,169,7.400879436282184,7.60009827897619,7.189576672158391,9,Spanish,Adult
3,195,7.607330313749611,7.788065392065399,7.417852514885899,9,Spanish,Adult
4,225,7.813781191217037,7.971686963189501,7.629356620079611,9,Spanish,Adult
5,217,7.7615512324444795,7.930884852598879,7.569855608330948,9,Spanish,Adult
6,222,7.794415866350106,7.965784284662087,7.584962500721156,9,Spanish,Adult
7,216,7.754887502163468,7.9190119689328755,7.577428828035749,9,Spanish,Adult
8,202,7.6582114827517955,7.8392037880969445,7.467605550082998,9,Spanish,Adult
9,307,8.262094845370179,8.396604781181859,8.118811100056648,9,Spanish,Adult
1,129,7.011227255423254,7.209453365628949,6.768184324776926,5,Mandarin,Child
2,158,7.303780748177103,7.507794640198696,7.087196660145352,5,Mandarin,Child
3,175,7.45121111183233,7.629538320091212,7.266551573244846,5,Mandarin,Child
4,193,7.592457037268081,7.7615512324444795,7.409390936137703,5,Mandarin,Child
5,159,7.312882955284356,7.515699838284044,7.08746284125034,5,Mandarin,Child
1,104,6.700439718141092,6.954196310386876,6.409390936137703,7,Mandarin,Child
2,128,7,7.199672344836364,6.754887502163468,7,Mandarin,Child
3,130,7.022367813028454,7.238404739325079,6.78135971352466,7,Mandarin,Child
4,133,7.05528243550119,7.267019987309385,6.832890014164741,7,Mandarin,Child
5,128,7,7.219409774713005,6.741466986401148,7,Mandarin,Child
6,161,7.330916878114618,7.523561956057013,7.118941072723508,7,Mandarin,Child
7,108,6.754887502163468,6.965784284662088,6.507396101601971,7,Mandarin,Child
1,56,5.807354922057605,6.149747119504682,5.392317422778761,9,Mandarin,Child
2,68,6.08746284125034,6.357989190286306,5.727920454563199,9,Mandarin,Child
3,81,6.339850002884624,6.6147098441152075,6,9,Mandarin,Child
4,77,6.266786540694903,6.539158811108032,5.930737337562887,9,Mandarin,Child
5,81,6.339850002884624,6.615076013514317,6.044394119358453,9,Mandarin,Child
6,73,6.189824558880018,6.4918530963296766,5.8573537206035,9,Mandarin,Child
7,72,6.169925001442312,6.475733430966398,5.83289001416474,9,Mandarin,Child
8,71,6.149747119504682,6.442943495848729,5.78135971352466,9,Mandarin,Child
9,66,6.044394119358453,6.339850002884624,5.672425341971496,9,Mandarin,Child
1,320,8.321928094887362,8.459431618637298,8.174800665474221,5,Mandarin,Adult
2,327,8.353146825498085,8.491853096329676,8.209453365628951,5,Mandarin,Adult
3,359,8.487840033823051,8.61470984411521,8.35303635871641,5,Mandarin,Adult
4,374,8.546894459887639,8.67595703294175,8.409390936137704,5,Mandarin,Adult
5,270,8.076815597050832,8.224001674198107,7.90086680798075,5,Mandarin,Adult
1,247,7.948367231584678,8.103418724621177,7.768184324776926,7,Mandarin,Adult
2,280,8.129283016944965,8.285402218862247,7.971399572218554,7,Mandarin,Adult
3,297,8.214319120800765,8.353146825498085,8.060695931687555,7,Mandarin,Adult
4,281,8.134426320220925,8.294620748891626,7.977279923499916,7,Mandarin,Adult
5,297,8.214319120800765,8.357552004618084,8.066089190457772,7,Mandarin,Adult
6,305,8.252665432450248,8.396604781181859,8.092624783428116,7,Mandarin,Adult
7,206,7.68650052718322,7.851749041416057,7.475733430966398,7,Mandarin,Adult
1,156,7.285402218862249,7.483815777264256,7.05528243550119,9,Mandarin,Adult
